# Cookie Results
|            URL             |      Final Status Code       |No. of Cookies|Redirects|HttpOnly|Secure|SameSite|Strict|Lax|None|Path|Not /|
|picasaweb.google.com        |HTTP/2 200                    |             4|        4|       4|     1|       0|     0|  0|   0|   4|    0|
|pixabay.com                 |HTTP/2 403                    |             4|        1|       4|     3|       4|     0|  2|   2|   4|    0|
|plos.org                    |HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|pt.wikipedia.org            |HTTP/2 200                    |             8|        2|       6|     8|       0|     0|  0|   0|   8|    0|
|qq.com                      |                              |             0|        0|       0|     0|       0|     0|  0|   0|   0|    0|
|researchgate.net            |HTTP/2 200                    |             4|        2|       4|     4|       1|     0|  1|   0|   4|    0|
|sciencemag.org              |HTTP/1.1 200 OK               |             0|        2|       0|     0|       0|     0|  0|   0|   0|    0|
|scoop.it                    |HTTP/2 200                    |             2|        1|       0|     1|       1|     0|  0|   1|   2|    0|
|sedo.com                    |HTTP/2 200                    |             5|        2|       5|     5|       2|     0|  2|   0|   5|    0|
|spiegel.de                  |HTTP/1.1 200 OK               |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|spotify.com                 |HTTP/2 200                    |             5|        2|       3|     5|       2|     0|  2|   0|   5|    0|
|stanford.edu                |HTTP/2 200                    |             1|        1|       1|     1|       0|     0|  0|   0|   1|    0|
|storage.googleapis.com      |HTTP/1.1 400 Bad Request      |             0|        0|       0|     0|       0|     0|  0|   0|   0|    0|
|stores.jp                   |HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|techcrunch.com              |HTTP/2 200                    |             4|        1|       2|     4|       3|     0|  2|   1|   4|    0|
|themeforest.net             |HTTP/2 200                    |             1|        1|       1|     0|       1|     0|  1|   0|   1|    0|
|tinyurl.com                 |HTTP/2 200                    |            10|        2|       4|     0|      10|     0| 10|   0|  10|    0|
|tools.google.com            |HTTP/2 200                    |             0|        2|       0|     0|       0|     0|  0|   0|   0|    0|
|transandfiestas.ga          |HTTP/1.1 301 Moved Permanently|             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|translate.google.com        |HTTP/2 200                    |             2|        1|       2|     0|       0|     0|  0|   0|   2|    0|
|trustpilot.com              |HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|usgs.gov                    |HTTP/2 200                    |             4|        2|       0|     1|       2|     0|  0|   2|   4|    0|
|usnews.com                  |                              |             0|        0|       0|     0|       0|     0|  0|   0|   0|    0|
|wikia.com                   |HTTP/2 200                    |             3|        1|       0|     3|       3|     0|  0|   3|   3|    0|
|wiley.com                   |HTTP/2 405                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|wp.com                      |HTTP/2 200                    |             0|        2|       0|     0|       0|     0|  0|   0|   0|    0|
|www.canalblog.com           |HTTP/1.1 200 200              |             1|        1|       1|     0|       0|     0|  0|   0|   1|    0|
|www.over-blog.com           |HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|
|www.wix.com                 |HTTP/2 200                    |             7|        1|       0|     4|       4|     0|  0|   4|   7|    0|
|youtube.com                 |HTTP/2 200                    |             3|        2|       3|     3|       2|     0|  0|   2|   3|    0|
|ziddu.com                   |HTTP/2 200                    |             0|        1|       0|     0|       0|     0|  0|   0|   0|    0|

### Cookie Stats
#### Min
* 0
#### Max
* 20
#### Mean
* 2.18
#### Median
* 1.0
